Kanal,Datum,Bestellungen
teufel-shop,01/07/2018,128
teufel-shop,02/07/2018,271
teufel-shop,03/07/2018,218
teufel-shop,04/07/2018,178
teufel-shop,05/07/2018,213
teufel-shop,06/07/2018,156
teufel-shop,07/07/2018,98
teufel-shop,08/07/2018,167
teufel-shop,09/07/2018,215
teufel-shop,10/07/2018,202
teufel-shop,11/07/2018,176
teufel-shop,12/07/2018,152
teufel-shop,13/07/2018,118
teufel-shop,14/07/2018,81
teufel-shop,15/07/2018,146
teufel-shop,16/07/2018,212
teufel-shop,17/07/2018,189
teufel-shop,18/07/2018,187
teufel-shop,19/07/2018,134
teufel-shop,20/07/2018,147
teufel-shop,21/07/2018,113
teufel-shop,22/07/2018,165
teufel-shop,23/07/2018,201
teufel-shop,24/07/2018,202
teufel-shop,25/07/2018,171
teufel-shop,26/07/2018,162
teufel-shop,27/07/2018,120
teufel-shop,28/07/2018,115
teufel-shop,29/07/2018,149
teufel-shop,30/07/2018,213
teufel-shop,31/07/2018,207
teufel-shop,01/08/2018,177
teufel-shop,02/08/2018,141
teufel-shop,03/08/2018,106
teufel-shop,04/08/2018,97
teufel-shop,05/08/2018,147
teufel-shop,06/08/2018,210
teufel-shop,07/08/2018,187
teufel-shop,08/08/2018,194
teufel-shop,09/08/2018,168
teufel-shop,10/08/2018,120
teufel-shop,11/08/2018,117
teufel-shop,12/08/2018,134
teufel-shop,13/08/2018,192
teufel-shop,14/08/2018,186
teufel-shop,15/08/2018,183
teufel-shop,16/08/2018,180
teufel-shop,17/08/2018,117
teufel-shop,18/08/2018,94
teufel-shop,19/08/2018,152
teufel-shop,20/08/2018,216
teufel-shop,21/08/2018,179
teufel-shop,22/08/2018,155
teufel-shop,23/08/2018,144
teufel-shop,24/08/2018,118
teufel-shop,25/08/2018,103
teufel-shop,26/08/2018,129
teufel-shop,27/08/2018,200
teufel-shop,28/08/2018,187
teufel-shop,29/08/2018,160
teufel-shop,30/08/2018,144
teufel-shop,31/08/2018,133
teufel-shop,01/09/2018,104
teufel-shop,02/09/2018,141
teufel-shop,03/09/2018,215
teufel-shop,04/09/2018,175
teufel-shop,05/09/2018,196
teufel-shop,06/09/2018,152
teufel-shop,07/09/2018,124
teufel-shop,08/09/2018,53
teufel-shop,09/09/2018,86
teufel-shop,10/09/2018,232
teufel-shop,11/09/2018,186
teufel-shop,12/09/2018,181
teufel-shop,13/09/2018,150
teufel-shop,14/09/2018,112
teufel-shop,15/09/2018,89
teufel-shop,16/09/2018,140
teufel-shop,17/09/2018,222
teufel-shop,18/09/2018,189
teufel-shop,19/09/2018,178
teufel-shop,20/09/2018,149
teufel-shop,21/09/2018,111
teufel-shop,22/09/2018,96
teufel-shop,23/09/2018,99
teufel-shop,24/09/2018,197
teufel-shop,25/09/2018,180
teufel-shop,26/09/2018,177
teufel-shop,27/09/2018,161
teufel-shop,28/09/2018,141
teufel-shop,29/09/2018,103
teufel-shop,30/09/2018,161
teufel-shop,01/10/2018,207
teufel-shop,02/10/2018,150
teufel-shop,03/10/2018,145
teufel-shop,04/10/2018,168
teufel-shop,05/10/2018,126
teufel-shop,06/10/2018,94
teufel-shop,07/10/2018,197
teufel-shop,08/10/2018,242
teufel-shop,09/10/2018,187
teufel-shop,10/10/2018,182
teufel-shop,11/10/2018,165
teufel-shop,12/10/2018,89
teufel-shop,13/10/2018,83
teufel-shop,14/10/2018,161
teufel-shop,15/10/2018,206
teufel-shop,16/10/2018,203
teufel-shop,17/10/2018,168
teufel-shop,18/10/2018,148
teufel-shop,19/10/2018,131
teufel-shop,20/10/2018,90
teufel-shop,21/10/2018,165
teufel-shop,22/10/2018,191
teufel-shop,23/10/2018,207
teufel-shop,24/10/2018,187
teufel-shop,25/10/2018,163
teufel-shop,26/10/2018,87
teufel-shop,27/10/2018,135
teufel-shop,28/10/2018,156
teufel-shop,29/10/2018,220
teufel-shop,30/10/2018,188
teufel-shop,31/10/2018,154
teufel-shop,01/11/2018,152
teufel-shop,02/11/2018,181
teufel-shop,03/11/2018,97
teufel-shop,04/11/2018,226
teufel-shop,05/11/2018,241
teufel-shop,06/11/2018,222
teufel-shop,07/11/2018,176
teufel-shop,08/11/2018,151
teufel-shop,09/11/2018,138
teufel-shop,10/11/2018,106
teufel-ebay,01/07/2018,60
teufel-ebay,02/07/2018,70
teufel-ebay,03/07/2018,67
teufel-ebay,04/07/2018,69
teufel-ebay,05/07/2018,61
teufel-ebay,06/07/2018,50
teufel-ebay,07/07/2018,43
teufel-ebay,08/07/2018,50
teufel-ebay,09/07/2018,80
teufel-ebay,10/07/2018,60
teufel-ebay,11/07/2018,74
teufel-ebay,12/07/2018,63
teufel-ebay,13/07/2018,52
teufel-ebay,14/07/2018,40
teufel-ebay,15/07/2018,36
teufel-ebay,16/07/2018,77
teufel-ebay,17/07/2018,71
teufel-ebay,18/07/2018,57
teufel-ebay,19/07/2018,64
teufel-ebay,20/07/2018,47
teufel-ebay,21/07/2018,32
teufel-ebay,22/07/2018,64
teufel-ebay,23/07/2018,89
teufel-ebay,24/07/2018,63
teufel-ebay,25/07/2018,73
teufel-ebay,26/07/2018,59
teufel-ebay,27/07/2018,52
teufel-ebay,28/07/2018,46
teufel-ebay,29/07/2018,74
teufel-ebay,30/07/2018,97
teufel-ebay,31/07/2018,76
teufel-ebay,01/08/2018,76
teufel-ebay,02/08/2018,68
teufel-ebay,03/08/2018,44
teufel-ebay,04/08/2018,49
teufel-ebay,05/08/2018,70
teufel-ebay,06/08/2018,81
teufel-ebay,07/08/2018,90
teufel-ebay,08/08/2018,69
teufel-ebay,09/08/2018,65
teufel-ebay,10/08/2018,57
teufel-ebay,11/08/2018,46
teufel-ebay,12/08/2018,59
teufel-ebay,13/08/2018,79
teufel-ebay,14/08/2018,77
teufel-ebay,15/08/2018,68
teufel-ebay,16/08/2018,76
teufel-ebay,17/08/2018,53
teufel-ebay,18/08/2018,48
teufel-ebay,19/08/2018,66
teufel-ebay,20/08/2018,92
teufel-ebay,21/08/2018,93
teufel-ebay,22/08/2018,73
teufel-ebay,23/08/2018,62
teufel-ebay,24/08/2018,53
teufel-ebay,25/08/2018,38
teufel-ebay,26/08/2018,62
teufel-ebay,27/08/2018,104
teufel-ebay,28/08/2018,67
teufel-ebay,29/08/2018,68
teufel-ebay,30/08/2018,57
teufel-ebay,31/08/2018,59
